detail,supplier,true_nominal,pred_nominal,true_department,pred_department,true_tc,pred_tc
COMMISSION,SUPPLIER 2,Sales Commissions,Buildings,ACCOMMODATION,ADMINISTRATION,T8,T6
GAS,SUPPLIER 23,Gas,Miscellaneous Expenses,KITCHEN,HOUSEKEEPING,T3,T3
GAS,SUPPLIER 23,Gas,Miscellaneous Expenses,HOUSEKEEPING,HOUSEKEEPING,T3,T3
WATER,SUPPLIER 13,Materials Purchased,Materials Purchased,HOUSEKEEPING,HOUSEKEEPING,T1,T2
WATER,SUPPLIER 13,Materials Purchased,Materials Purchased,HOUSEKEEPING,HOUSEKEEPING,T1,T2
WATER,SUPPLIER 13,Materials Purchased,Materials Purchased,HOUSEKEEPING,HOUSEKEEPING,T1,T2
WATER,SUPPLIER 13,Materials Purchased,Materials Purchased,HOUSEKEEPING,HOUSEKEEPING,T1,T2
IMPORT DUTY,SUPPLIER 121,Plant and Machinery,Buildings,GENERAL/CAPITAL,GENERAL/CAPITAL,T6,T6
IMPORT DUTY,SUPPLIER 121,Furniture and Fixtures,Buildings,GENERAL/CAPITAL,GENERAL/CAPITAL,T6,T6
IMPORT DUTY,SUPPLIER 121,Miscellaneous Expenses,Buildings,HOUSEKEEPING,GENERAL/CAPITAL,T3,T6
VAT,SUPPLIER 121,Plant and Machinery,Buildings,GENERAL/CAPITAL,GENERAL/CAPITAL,T6,T6
VAT,SUPPLIER 121,Furniture and Fixtures,Buildings,GENERAL/CAPITAL,GENERAL/CAPITAL,T6,T6
VAT,SUPPLIER 121,Miscellaneous Expenses,Buildings,HOUSEKEEPING,GENERAL/CAPITAL,T3,T6
GAS,SUPPLIER 23,Gas,Miscellaneous Expenses,KITCHEN,HOUSEKEEPING,T3,T3
CEMENT,SUPPLIER 106,Repairs and Renewals,Buildings,MAINTENANCE,CAPITAL,T3,T6
CEMENT/GLOVE/MASK,SUPPLIER 106,Repairs and Renewals,Cleaning,MAINTENANCE,MAINTENANCE,T3,T3
IMPORT DUTY,SUPPLIER 121,Office Equipment,Buildings,GENERAL/CAPITAL,GENERAL/CAPITAL,T6,T6
IMPORT DUTY,SUPPLIER 121,Furniture and Fixtures,Buildings,GENERAL/CAPITAL,GENERAL/CAPITAL,T6,T6
IMPORT DUTY,SUPPLIER 121,Miscellaneous Expenses,Buildings,RESTAURANT,GENERAL/CAPITAL,T3,T6
ANTI-DUMPING,SUPPLIER 121,Miscellaneous Expenses,Buildings,RESTAURANT,GENERAL/CAPITAL,T3,T6
VAT,SUPPLIER 121,Office Equipment,Buildings,GENERAL/CAPITAL,GENERAL/CAPITAL,T6,T6
VAT,SUPPLIER 121,Furniture and Fixtures,Buildings,GENERAL/CAPITAL,GENERAL/CAPITAL,T6,T6
VAT,SUPPLIER 121,Miscellaneous Expenses,Buildings,RESTAURANT,GENERAL/CAPITAL,T3,T6
WATER,SUPPLIER 13,Materials Purchased,Materials Purchased,HOUSEKEEPING,HOUSEKEEPING,T1,T2
COMMISSION,SUPPLIER 1,Sales Commissions,Professional Fees,ACCOMMODATION,ADMINISTRATION,T8,T3
COMMISSION,SUPPLIER 2,Sales Commissions,Buildings,ACCOMMODATION,ADMINISTRATION,T8,T6
GAS,SUPPLIER 23,Gas,Miscellaneous Expenses,KITCHEN,HOUSEKEEPING,T3,T3
GAS,SUPPLIER 23,Gas,Miscellaneous Expenses,KITCHEN,HOUSEKEEPING,T3,T3
GAS,SUPPLIER 23,Gas,Miscellaneous Expenses,KITCHEN,HOUSEKEEPING,T3,T3
WATER,SUPPLIER 13,Materials Purchased,Materials Purchased,HOUSEKEEPING,HOUSEKEEPING,T1,T2
WATER,SUPPLIER 13,Materials Purchased,Materials Purchased,HOUSEKEEPING,HOUSEKEEPING,T1,T2
DRAIN FITTINGS/DISCS/GLOVES,SUPPLIER 106,Repairs and Renewals,Miscellaneous Expenses,MAINTENANCE,MAINTENANCE,T3,T3
