detail,supplier,true_nominal,pred_nominal,true_department,pred_department,true_tc,pred_tc,confidence,reasoning
TRANSPORTATION,SUPPLIER 76,Miscellaneous Expenses,Travelling,RESTAURANT,RESTAURANT,T9,T3,"{'nominal': 0.96, 'department': 0.95, 'tax_code': 0.95}","The line item 'TRANSPORTATION' from 'SUPPLIER 76' closely matches a historical item with 0.96 similarity classified as 'Travelling' under the 'RESTAURANT' department with tax code 'T3'. Other similar items from the same supplier also fall under 'RESTAURANT' and 'T3', supporting this classification."
LOCAL CHARGES,SUPPLIER 121,Buildings,Furniture and Fixtures,GENERAL/CAPITAL,GENERAL/CAPITAL,T6,T9,"{'nominal': 0.9, 'department': 0.9, 'tax_code': 0.8}","Most similar historical items with the same supplier and description are classified as Furniture and Fixtures under the GENERAL/CAPITAL department with tax code T9. Although one example uses T6, T9 is more frequent, so it is chosen here. The consistency in supplier and description strongly supports this classification."
COFFEE/BREAD,SUPPLIER 70,Materials Purchased,Materials Purchased,KITCHEN,HOUSEKEEPING,T0,T0,"{'nominal': 0.9, 'department': 0.9, 'tax_code': 0.9}",The line item 'COFFEE/BREAD' from 'SUPPLIER 70' closely matches historical items labeled as 'Materials Purchased' under the 'HOUSEKEEPING' department with tax code 'T0'. The high similarity scores (0.86) for previous coffee items from the same supplier support this classification with high confidence.
COFFEE,SUPPLIER 70,Materials Purchased,Materials Purchased,KITCHEN,HOUSEKEEPING,T0,T0,"{'nominal': 1.0, 'department': 1.0, 'tax_code': 1.0}","The classification matches exactly with multiple historical examples of the same detail and supplier, all classified as Materials Purchased for the Housekeeping department with tax code T0. The perfect similarity score of 1.00 in all examples supports a high confidence in this classification."
DIESEL,SUPPLIER 96,Vehicle Fuel,Vehicle Fuel,MAINTENANCE,ACCOMMODATION,T3,T3,"{'nominal': 1.0, 'department': 0.8, 'tax_code': 1.0}","The line item matches historical examples with the same supplier and detail 'diesel' classified as 'Vehicle Fuel' nominal and tax code 'T3' with full confidence. Department is chosen as 'ACCOMMODATION' since it appears more frequently than 'MAINTENANCE' in similar examples, though with slightly less confidence."
COFFEE/LOTUS,SUPPLIER 46,Materials Purchased,Materials Purchased,HOUSEKEEPING,KITCHEN,T0,T0,"{'nominal': 0.9, 'department': 0.7, 'tax_code': 0.95}","The line item 'COFFEE/LOTUS' closely matches historical items labeled as 'coffee' with the nominal 'Materials Purchased' and tax code 'T0'. Among departments, 'KITCHEN' is a common classification for coffee purchases, so it is selected with moderate confidence."
BEVERAGE,SUPPLIER 13,Materials Purchased,Materials Purchased,BAR,BAR,T2,T1,"{'nominal': 0.95, 'department': 0.95, 'tax_code': 0.85}","The line item matches previous examples with the same detail and supplier, all classified as Materials Purchased and BAR department. Tax code T1 is the most frequent among similar items, so it is chosen with high confidence."
EMPTYING OF GREASE TRAPS 2,SUPPLIER 133,Cleaning,Cleaning,KITCHEN,HOUSEKEEPING,T3,T3,"{'nominal': 0.9, 'department': 0.85, 'tax_code': 0.9}","The line item 'EMPTYING OF GREASE TRAPS' is closely related to cleaning services, similar to historical items classified under 'Cleaning' and 'HOUSEKEEPING' with tax code 'T3'. The high similarity of cleaning goods examples supports this classification with strong confidence."
DIESEL,SUPPLIER 96,Vehicle Fuel,Vehicle Fuel,MAINTENANCE,ACCOMMODATION,T3,T3,"{'nominal': 1.0, 'department': 0.8, 'tax_code': 1.0}","The nominal classification is Vehicle Fuel with full confidence as all similar historical items with the same detail and supplier are classified as such. The tax code T3 is consistent across all similar examples. The department is most frequently ACCOMMODATION in the examples, so it is chosen with high confidence though there is one instance of MAINTENANCE."
VAT,SUPPLIER 121,Furniture and Fixtures,Buildings,GENERAL/CAPITAL,GENERAL/CAPITAL,T6,T6,"{'nominal': 0.9, 'department': 1.0, 'tax_code': 1.0}","All similar historical items with the same supplier and detail 'VAT' are classified under the department 'GENERAL/CAPITAL' and tax code 'T6'. Among the nominal values, 'Buildings' appears most frequently and is a valid nominal classification, so it is chosen with high confidence."
CORD/TIMESHEETS,SUPPLIER 9,Miscellaneous Expenses,Professional Fees,KITCHEN,ADMINISTRATION,T3,T9,"{'nominal': 0.85, 'department': 0.9, 'tax_code': 0.8}",The line item 'CORD/TIMESHEETS' suggests a service related to professional or administrative work. Historical items with similar administrative context and supplier patterns were classified under 'Professional Fees' and 'ADMINISTRATION' with tax code 'T9'. This classification aligns well with the nature of timesheet services and the closest historical example with similar detail and supplier.
COFFEE,SUPPLIER 33,Materials Purchased,Materials Purchased,KITCHEN,BAR,T0,T0,"{'nominal': 1.0, 'department': 0.8, 'tax_code': 1.0}","All similar historical items with the same detail and supplier are classified under 'Materials Purchased' nominal and 'T0' tax code with full confidence. The department varies among BAR, KITCHEN, and HOUSEKEEPING, but BAR appears most frequently, so it is chosen with slightly lower confidence."
LOCAL CHARGES,SUPPLIER 121,Buildings,Furniture and Fixtures,GENERAL/CAPITAL,GENERAL/CAPITAL,T9,T9,"{'nominal': 0.9, 'department': 0.9, 'tax_code': 0.9}",Most similar historical items with the same supplier and detail text were classified as Furniture and Fixtures under the GENERAL/CAPITAL department with tax code T9. This consistent pattern across multiple examples supports a high confidence in this classification.
HAND POWER,SUPPLIER 24,Miscellaneous Expenses,Miscellaneous Expenses,KITCHEN,HOUSEKEEPING,T3,T3,"{'nominal': 0.85, 'department': 0.85, 'tax_code': 0.9}","The supplier is the same as in historical examples classified under Miscellaneous Expenses and Housekeeping with tax code T3. The item 'HAND POWER' is similar in context to 'gloves' and 'bags' which were also classified under Housekeeping and Miscellaneous Expenses, supporting this classification with high confidence."
GLOVES,SUPPLIER 14,Cleaning,Miscellaneous Expenses,HOUSEKEEPING,HOUSEKEEPING,T3,T3,"{'nominal': 1.0, 'department': 1.0, 'tax_code': 1.0}","The line item matches exactly with multiple historical examples of gloves from supplier 14, all classified as Miscellaneous Expenses, HOUSEKEEPING, and tax code T3 with perfect similarity. This strong match justifies high confidence in the classification."
COFFEE,SUPPLIER 33,Materials Purchased,Materials Purchased,KITCHEN,BAR,T0,T0,"{'nominal': 1.0, 'department': 0.6, 'tax_code': 1.0}","All similar historical items with the same supplier and detail are classified under 'Materials Purchased' nominal and 'T0' tax code with full confidence. The department varies among BAR, KITCHEN, and HOUSEKEEPING, so BAR is chosen with moderate confidence as it appears most frequently."
COFFEE,SUPPLIER 33,Materials Purchased,Materials Purchased,HOUSEKEEPING,BAR,T0,T0,"{'nominal': 0.9, 'department': 0.7, 'tax_code': 0.95}","All similar historical items with the same supplier and detail classify the nominal as 'Materials Purchased' and tax code as 'T0' with full similarity. The department varies among BAR, KITCHEN, and HOUSEKEEPING, but BAR appears twice and is a common department for coffee supplies, so BAR is chosen with moderate confidence."
BEVERAGE,SUPPLIER 15,Materials Purchased,Materials Purchased,BAR,BAR,T2,T1,"{'nominal': 1.0, 'department': 1.0, 'tax_code': 1.0}","The classification matches exactly with multiple historical examples where the detail is 'beverage' and the supplier is 'supplier 15'. All these examples consistently classify the item as 'Materials Purchased' for the 'BAR' department with tax code 'T1', providing full confidence in this classification."
CONSULTANCY: MONITORING AIR QU,SUPPLIER 124,Professional Fees,Professional Fees,ADMINISTRATION,MAINTENANCE,T3,T3,"{'nominal': 0.9, 'department': 0.85, 'tax_code': 0.8}","The line item mentions consultancy, similar to a historical item classified as Professional Fees under MAINTENANCE with tax code T3. The supplier and context align closely with previous consultancy-related entries, supporting this classification with high confidence."
APRONS,SUPPLIER 72,Miscellaneous Expenses,Cleaning,KITCHEN,HOUSEKEEPING,T3,T3,"{'nominal': 0.9, 'department': 0.9, 'tax_code': 0.9}","The supplier is the same as in historical examples where items related to cleaning and housekeeping were classified under 'Cleaning' nominal and 'HOUSEKEEPING' department with tax code 'T3'. Aprons are typically used in housekeeping or cleaning contexts, so this classification aligns well with similar past items from the same supplier."
GAS,SUPPLIER 23,Gas,Gas,KITCHEN,HOUSEKEEPING,T3,T3,"{'nominal': 1.0, 'department': 0.8, 'tax_code': 1.0}","The line item matches exactly with multiple historical examples labeled as 'Gas' nominal and 'T3' tax code with full similarity. Most examples classify the department as 'HOUSEKEEPING', so it is chosen with high confidence, though one example shows 'KITCHEN' which slightly lowers department confidence."
ICECREAM,SUPPLIER 49,Materials Purchased,Materials Purchased,KITCHEN,BAR,T2,T1,"{'nominal': 0.95, 'department': 0.95, 'tax_code': 0.8}","The line item matches exactly with historical examples of 'icecream' from 'supplier 49' which were consistently classified under 'Materials Purchased' nominal and 'BAR' department. Most historical tax codes were 'T1', so it is chosen with high confidence but slightly less than nominal and department due to some variation in past data."
FERRY CAR SCHEME,SUPPLIER 95,Travelling,Travelling,ADMINISTRATION,ADMINISTRATION,T9,T3,"{'nominal': 1.0, 'department': 1.0, 'tax_code': 0.95}","The line item matches exactly with historical items labeled 'ferry car scheme' from supplier 95, all classified under 'Travelling' nominal and 'ADMINISTRATION' department with tax code 'T3'. The high similarity scores of 1.00 support this classification with high confidence."
APR-JUN 25,SUPPLIER 78,Electricity,Water Rates,ADMINISTRATION,ADMINISTRATION,T5,T9,"{'nominal': 1.0, 'department': 1.0, 'tax_code': 1.0}","The line item matches exactly with a historical item from supplier 78 with the same detail and nominal classification as Water Rates, department ADMINISTRATION, and tax code T9. The perfect similarity score of 1.00 supports a high confidence in this classification."
SSR I71,SUPPLIER 107,Vehicle Insurance,Materials Purchased,MAINTENANCE,KITCHEN,T9,T0,"{'nominal': 0.9, 'department': 0.9, 'tax_code': 0.9}","The line item detail 'SSR I71' and supplier 'SUPPLIER 107' closely resemble historical items labeled as 'food' from 'supplier 71' which were classified under 'Materials Purchased' for the 'KITCHEN' department with tax code 'T0'. Given the strong similarity and consistent classification in historical data, the same classification is applied here with high confidence."
PROCEDURES MANUAL,SUPPLIER 41,Professional Fees,Professional Fees,ADMINISTRATION,ADMINISTRATION,T3,T9,"{'nominal': 0.9, 'department': 0.9, 'tax_code': 0.9}","The line item 'PROCEDURES MANUAL' is similar to historical items labeled as 'management services' from a different supplier, all classified under Professional Fees, ADMINISTRATION, and tax code T9. Given the similarity in service nature and department, the same classification is applied with high confidence."
BEVERAGE,SUPPLIER 12,Materials Purchased,Materials Purchased,BAR,BAR,T0,T1,"{'nominal': 0.95, 'department': 0.95, 'tax_code': 0.8}","All similar historical items with the same supplier and detail are classified as 'Materials Purchased' for the 'BAR' department. Most examples use tax code 'T1', so it is chosen with high confidence. The zero VAT in the current item aligns with the tax code 'T1' used previously."
COMNSULTANCY,SUPPLIER 124,Professional Fees,Professional Fees,ADMINISTRATION,ADMINISTRATION,T3,T8,"{'nominal': 0.7, 'department': 0.6, 'tax_code': 0.8}","The line item 'COMNSULTANCY' suggests consultancy services, which aligns with 'Professional Fees' rather than 'Sales Commissions' seen in the similar examples. The supplier does not hint at a specific department, so 'ADMINISTRATION' is chosen as a general department for consultancy. The tax code T8 is retained from similar examples due to VAT presence and typical classification."
GLASSES,SUPPLIER 37,Repairs and Renewals,Miscellaneous Expenses,MAINTENANCE,BAR,T3,T3,"{'nominal': 0.85, 'department': 0.8, 'tax_code': 0.9}","The line item 'GLASSES' closely matches historical items labeled as 'glass' from supplier 65, which were classified under 'Miscellaneous Expenses' and the 'BAR' department with tax code 'T3'. Despite the different supplier, the similarity in item description and tax code supports using the same classification."
COFFEE/MILK,SUPPLIER 33,Materials Purchased,Materials Purchased,KITCHEN,HOUSEKEEPING,T0,T0,"{'nominal': 1.0, 'department': 0.95, 'tax_code': 1.0}","The line item 'COFFEE/MILK' from 'SUPPLIER 33' closely matches historical items with identical or very similar descriptions and the same supplier, all classified as 'Materials Purchased' nominal, 'HOUSEKEEPING' department, and 'T0' tax code. The highest similarity examples strongly support this classification, with minor variations in department but predominantly HOUSEKEEPING."
COFFEE,SUPPLIER 33,Materials Purchased,Materials Purchased,KITCHEN,BAR,T0,T0,"{'nominal': 1.0, 'department': 0.8, 'tax_code': 1.0}","All similar historical items with the same supplier and detail 'coffee' are classified under 'Materials Purchased' nominal and tax code 'T0' with full confidence. Departments vary among BAR, KITCHEN, and HOUSEKEEPING, but BAR appears twice and is a common department for coffee supplies, so it is chosen with high confidence."
DIESEL,SUPPLIER 96,Vehicle Fuel,Vehicle Fuel,MAINTENANCE,ACCOMMODATION,T3,T3,"{'nominal': 1.0, 'department': 0.7, 'tax_code': 1.0}","All similar historical items with the same supplier and detail are classified as 'Vehicle Fuel' nominal and tax code 'T3' with full confidence. The department is split between 'ACCOMMODATION' and 'MAINTENANCE', so 'ACCOMMODATION' is chosen with moderate confidence as it appears more frequently."
CORSS/WOOD,SUPPLIER 79,Buildings,Repairs and Renewals,CAPITAL,MAINTENANCE,T6,T3,"{'nominal': 0.85, 'department': 0.8, 'tax_code': 0.75}","The line item detail 'CORSS/WOOD' closely matches historical items related to wood and repairs, which were classified under 'Repairs and Renewals' and 'MAINTENANCE' with tax code 'T3'. The supplier is different but similar items from other suppliers suggest this classification is most appropriate."
TEA/MILK,SUPPLIER 67,Materials Purchased,Materials Purchased,KITCHEN,HOUSEKEEPING,T0,T0,"{'nominal': 1.0, 'department': 1.0, 'tax_code': 1.0}","The line item matches exactly with multiple historical examples from the same supplier and description, all classified as Materials Purchased for the Housekeeping department with tax code T0. The high similarity scores (1.00) confirm this classification is consistent and reliable."
BCRS,SUPPLIER 14,BCRS,BCRS,HOUSEKEEPING,BAR,T9,T9,"{'nominal': 1.0, 'department': 0.8, 'tax_code': 1.0}","All highly similar historical items with the same detail and supplier are classified as nominal BCRS and tax code T9. Most examples assign the department as BAR, with one exception as HOUSEKEEPING, so BAR is chosen with slightly lower confidence."
BOWLS,SUPPLIER 72,Miscellaneous Expenses,Miscellaneous Expenses,HOUSEKEEPING,KITCHEN,T3,T3,"{'nominal': 1.0, 'department': 1.0, 'tax_code': 1.0}","The line item matches exactly with a historical example having the same detail and supplier, classified as Miscellaneous Expenses, KITCHEN, and tax code T3 with perfect similarity. Other similar items also support this classification with high similarity scores."
