detail,supplier,true_nominal,pred_nominal,true_department,pred_department,true_tc,pred_tc
FACIAL TISSUES,SUPPLIER 24,Miscellaneous Expenses,Miscellaneous Expenses,HOUSEKEEPING,RESTAURANT,T3,T3
DIESEL,SUPPLIER 96,Vehicle Fuel,Vehicle Fuel,MAINTENANCE,ACCOMMODATION,T3,T3
VAT,SUPPLIER 121,Furniture and Fixtures,Office Equipment,GENERAL/CAPITAL,GENERAL/CAPITAL,T6,T6
CORD/TIMESHEETS,SUPPLIER 9,Miscellaneous Expenses,Materials Purchased,KITCHEN,CAPITAL,T3,T3
COFFEE,SUPPLIER 33,Materials Purchased,Materials Purchased,KITCHEN,HOUSEKEEPING,T0,T0
WOOD,SUPPLIER 79,Repairs and Renewals,Buildings,MAINTENANCE,CAPITAL,T3,T6
LOCAL CHARGES,SUPPLIER 121,Buildings,Office Equipment,GENERAL/CAPITAL,GENERAL/CAPITAL,T9,T6
HAND POWER,SUPPLIER 24,Miscellaneous Expenses,Miscellaneous Expenses,KITCHEN,RESTAURANT,T3,T3
PH REGULATING ACID,SUPPLIER 6,Cleaning,Cleaning,HOUSEKEEPING,CAPITAL,T3,T3
PAN,SUPPLIER 9,Miscellaneous Expenses,Miscellaneous Expenses,KITCHEN,CAPITAL,T3,T3
GLOVES,SUPPLIER 14,Cleaning,Miscellaneous Expenses,HOUSEKEEPING,HOUSEKEEPING,T3,T3
BEVERAGE,SUPPLIER 15,Materials Purchased,Materials Purchased,BAR,BAR,T1,T2
COFFEE,SUPPLIER 33,Materials Purchased,Materials Purchased,KITCHEN,HOUSEKEEPING,T0,T0
CONSULTANCY: MONITORING AIR QU,SUPPLIER 124,Professional Fees,Materials Purchased,ADMINISTRATION,CAPITAL,T3,T3
APRONS,SUPPLIER 72,Miscellaneous Expenses,Cleaning,KITCHEN,HOUSEKEEPING,T3,T3
GAS,SUPPLIER 23,Gas,Gas,KITCHEN,HOUSEKEEPING,T3,T3
ICECREAM,SUPPLIER 49,Materials Purchased,Materials Purchased,KITCHEN,BAR,T2,T2
COLD ROOM/VRV,SUPPLIER 104,Repairs and Renewals,Repairs and Renewals,MAINTENANCE,CAPITAL,T3,T3
FERRY CAR SCHEME,SUPPLIER 95,Travelling,Travelling,ADMINISTRATION,ADMINISTRATION,T9,T3
APR-JUN 25,SUPPLIER 78,Electricity,Water Rates,ADMINISTRATION,ADMINISTRATION,T5,T9
SSR I71,SUPPLIER 107,Vehicle Insurance,Materials Purchased,MAINTENANCE,CAPITAL,T9,T3
ACID/ACID TEST,SUPPLIER 119,Cleaning,Miscellaneous Expenses,HOUSEKEEPING,CAPITAL,T3,T3
BEVERAGE,SUPPLIER 12,Materials Purchased,Materials Purchased,BAR,BAR,T0,T1
COMNSULTANCY,SUPPLIER 124,Professional Fees,Materials Purchased,ADMINISTRATION,CAPITAL,T3,T3
GLASSES,SUPPLIER 37,Repairs and Renewals,Buildings,MAINTENANCE,CAPITAL,T3,T6
BAKING PAPER,SUPPLIER 24,Miscellaneous Expenses,Miscellaneous Expenses,KITCHEN,RESTAURANT,T3,T3
COFFEE/MILK,SUPPLIER 33,Materials Purchased,Materials Purchased,KITCHEN,HOUSEKEEPING,T0,T0
HAND TOWELS/TISSUES,SUPPLIER 24,Miscellaneous Expenses,Miscellaneous Expenses,HOUSEKEEPING,RESTAURANT,T3,T3
COFFEE,SUPPLIER 33,Materials Purchased,Materials Purchased,KITCHEN,HOUSEKEEPING,T0,T0
DIESEL,SUPPLIER 96,Vehicle Fuel,Vehicle Fuel,MAINTENANCE,ACCOMMODATION,T3,T3
TEA/MILK,SUPPLIER 67,Materials Purchased,Materials Purchased,KITCHEN,HOUSEKEEPING,T0,T0
BCRS,SUPPLIER 14,BCRS,BCRS,HOUSEKEEPING,BAR,T9,T9
PILOTS/SERVICE,SUPPLIER 9,Miscellaneous Expenses,Goods & Services for Guests,KITCHEN,ADMINISTRATION,T3,T3
ACID/ACID TEST,SUPPLIER 6,Cleaning,Miscellaneous Expenses,HOUSEKEEPING,CAPITAL,T3,T3
WATER CUP,SUPPLIER 13,Miscellaneous Expenses,Miscellaneous Expenses,BAR,HOUSEKEEPING,T3,T3
