detail,supplier,true_nominal,pred_nominal,true_department,pred_department,true_tc,pred_tc,confidence,reasoning
LOCAL CHARGES,SUPPLIER 121,Buildings,Miscellaneous Expenses,GENERAL/CAPITAL,GENERAL/CAPITAL,T9,T9,"{'nominal': 0.75, 'department': 0.8, 'tax_code': 0.9}","Multiple identical historical items for supplier 121 with text 'DETAIL: LOCAL CHARGES' were classified as Miscellaneous Expenses or capital-related accounts; T9 appears most common. Given mix but stronger frequency of T9 and GENERAL/CAPITAL in similar records, Miscellaneous Expenses / GENERAL/CAPITAL / T9 is the best match."
HAND POWER,SUPPLIER 24,Miscellaneous Expenses,Miscellaneous Expenses,KITCHEN,HOUSEKEEPING,T3,T3,"{'nominal': 0.75, 'department': 0.85, 'tax_code': 0.9}","Similar items from the same supplier ('gloves', 'bags') were classified as Miscellaneous Expenses and assigned to HOUSEKEEPING with tax code T3. 'HAND POWER' appears to be a small supply item consistent with those historical housekeeping purchases from supplier 24, so I applied the same nominal, department, and tax code."
GLOVES,SUPPLIER 14,Cleaning,Miscellaneous Expenses,HOUSEKEEPING,HOUSEKEEPING,T3,T3,"{'nominal': 0.95, 'department': 0.95, 'tax_code': 0.95}","Exact matches in the historical data for 'gloves' from Supplier 14 classify this as Miscellaneous Expenses, HOUSEKEEPING, and T3. Multiple identical high-similarity examples support a high-confidence assignment to the same categories."
COFFEE,SUPPLIER 33,Materials Purchased,Materials Purchased,KITCHEN,BAR,T0,T0,"{'nominal': 0.9, 'department': 0.75, 'tax_code': 0.95}","All similar historical items with detail 'coffee' from Supplier 33 were classified as 'Materials Purchased' with tax code T0. Departments varied (BAR, KITCHEN, HOUSEKEEPING); BAR is chosen with moderate confidence as a common match among examples."
COFFEE,SUPPLIER 33,Materials Purchased,Materials Purchased,HOUSEKEEPING,BAR,T0,T0,"{'nominal': 0.9, 'department': 0.6, 'tax_code': 0.95}","All provided historical examples for 'COFFEE' from 'SUPPLIER 33' classify the nominal as Materials Purchased and tax code as T0, so I assigned those with high confidence. Department examples vary between BAR, KITCHEN, and HOUSEKEEPING; BAR is a common department for coffee supplies so I selected BAR with moderate confidence.}"
BEVERAGE,SUPPLIER 15,Materials Purchased,Materials Purchased,BAR,BAR,T2,T1,"{'nominal': 0.95, 'department': 0.95, 'tax_code': 0.85}","All highly similar historical items with the same detail and supplier were classified as Materials Purchased for the BAR department. Most examples used tax code T1 (one instance T0), so T1 is the most consistent choice while allowing slight uncertainty for tax code variance."
CONSULTANCY: MONITORING AIR QU,SUPPLIER 124,Professional Fees,Professional Fees,ADMINISTRATION,MAINTENANCE,T3,T3,"{'nominal': 0.88, 'department': 0.78, 'tax_code': 0.8}","The line item is a consultancy service (matches historical 'consultancy' and 'management services' examples mapped to Professional Fees). Several similar items with consultancy and maintenance context were assigned to MAINTENANCE and tax code T3, so MAINTENANCE and T3 are chosen accordingly."
APRONS,SUPPLIER 72,Miscellaneous Expenses,Cleaning,KITCHEN,HOUSEKEEPING,T3,T3,"{'nominal': 0.85, 'department': 0.9, 'tax_code': 0.9}","Item 'APRONS' is a cleaning/housekeeping supply similar to historical items (mops, cloth, dustpan) from supplier 72 which were classified as Cleaning and HOUSEKEEPING with tax code T3. The supplier and item type strongly match those examples, so Cleaning/HOUSEKEEPING/T3 is chosen."
ICECREAM,SUPPLIER 49,Materials Purchased,Materials Purchased,KITCHEN,BAR,T2,T1,"{'nominal': 0.9, 'department': 0.75, 'tax_code': 0.8}","All similar historical items for 'ICECREAM' from 'SUPPLIER 49' are classified as 'Materials Purchased'. Examples split between BAR (two instances) and KITCHEN (three instances); BAR with tax code T1 appears in multiple matches, so BAR/T1 is chosen with moderate-high confidence based on frequency and supplier hint."
FERRY CAR SCHEME,SUPPLIER 95,Travelling,Travelling,ADMINISTRATION,ADMINISTRATION,T9,T3,"{'nominal': 0.95, 'department': 0.9, 'tax_code': 0.85}",Matches multiple identical historical items (same detail and supplier) classified as Travelling and ADMINISTRATION with tax code T3. High similarity examples support the same nominal and department; VAT is 0.0 consistent with prior T3 usages in these records.
APR-JUN 25,SUPPLIER 78,Electricity,Water Rates,ADMINISTRATION,ADMINISTRATION,T5,T9,"{'nominal': 0.95, 'department': 0.9, 'tax_code': 0.9}","An identical historical item (detail: apr-jun 25 | supplier: supplier 78) was classified as Water Rates, ADMINISTRATION, T9. Other similar entries for the same supplier also map to utility-related nominals and ADMINISTRATION, so the same classification is the best match."
SSR I71,SUPPLIER 107,Vehicle Insurance,Materials Purchased,MAINTENANCE,KITCHEN,T9,T0,"{'nominal': 0.85, 'department': 0.85, 'tax_code': 0.9}","The detail and supplier closely match historical examples labeled as food purchases for supplier 71, which were classified as Materials Purchased for the KITCHEN with tax code T0. Given the high similarity of prior items and identical supplier hint, the same classifications are applied."
GAS,SUPPLIER 23,Gas,Gas,HOUSEKEEPING,KITCHEN,T3,T3,"{'nominal': 0.95, 'department': 0.8, 'tax_code': 0.95}","All historical matches with the same supplier and detail are classified as Gas and use tax code T3. Most examples assign the department KITCHEN (with one HOUSEKEEPING), so KITCHEN is chosen as the most frequent department for these identical line items."
PROCEDURES MANUAL,SUPPLIER 41,Professional Fees,Professional Fees,ADMINISTRATION,ADMINISTRATION,T3,T9,"{'nominal': 0.86, 'department': 0.85, 'tax_code': 0.8}","The line item 'PROCEDURES MANUAL' is similar to historical 'management services' entries which were classified as Professional Fees and assigned to ADMINISTRATION with tax code T9. Given the nature of a procedures manual as a professional service/documentation expense, Professional Fees / ADMINISTRATION / T9 is the best match."
BEVERAGE,SUPPLIER 12,Materials Purchased,Materials Purchased,BAR,BAR,T0,T1,"{'nominal': 0.95, 'department': 0.95, 'tax_code': 0.95}","All provided historical matches for 'DETAIL: BEVERAGE' from 'SUPPLIER 12' map to Materials Purchased, department BAR, and tax code T1 with perfect similarity. Given identical detail and supplier across examples, the same classifications are applied with high confidence."
COMNSULTANCY,SUPPLIER 124,Professional Fees,Professional Fees,ADMINISTRATION,ADMINISTRATION,T3,T8,"{'nominal': 0.75, 'department': 0.6, 'tax_code': 0.8}","The line detail 'COMNSULTANCY' indicates a consultancy/professional service rather than sales commission, so Professional Fees is the best fit. Historical examples labelled 'commission' map to Sales Commissions for ACCOMMODATION, but the descriptor here differs; department set to ADMINISTRATION as a general cost center for consultancy. VAT rate matches a taxed service similar to T8 in examples."
GLASSES,SUPPLIER 37,Repairs and Renewals,Miscellaneous Expenses,MAINTENANCE,BAR,T3,T3,"{'nominal': 0.82, 'department': 0.78, 'tax_code': 0.9}",Multiple historical matches for 'glass' map to Miscellaneous Expenses and BAR with high similarity; supplier 37 has a similar item ('safety shoes') mapped to Repairs and Renewals but 'glasses' aligns more closely with the repeated 'glass' examples. VAT presence and historical tax mappings support T3.
COFFEE/MILK,SUPPLIER 33,Materials Purchased,Materials Purchased,KITCHEN,HOUSEKEEPING,T0,T0,"{'nominal': 0.95, 'department': 0.9, 'tax_code': 0.9}",Line detail 'COFFEE/MILK' from SUPPLIER 33 matches multiple historical examples (exact and near-exact) classified as Materials Purchased and HOUSEKEEPING with tax code T0. Strong similarity to prior entries for the same supplier and item supports high confidence in the same classifications.
COFFEE,SUPPLIER 33,Materials Purchased,Materials Purchased,KITCHEN,BAR,T0,T0,"{'nominal': 0.9, 'department': 0.7, 'tax_code': 0.95}","All historical examples for 'detail: coffee' from Supplier 33 map to 'Materials Purchased' with tax code T0, so nominal and tax code follow that strong pattern. Department examples vary between BAR, KITCHEN, and HOUSEKEEPING; BAR is chosen as the most common and likely for coffee supplies, with moderate confidence."
DIESEL,SUPPLIER 96,Vehicle Fuel,Vehicle Fuel,MAINTENANCE,ACCOMMODATION,T3,T3,"{'nominal': 0.95, 'department': 0.85, 'tax_code': 0.95}","All similar historical items with the same supplier and detail ('DIESEL' / 'SUPPLIER 96') are classified as Vehicle Fuel with tax code T3; most examples assign the department ACCOMMODATION (one example shows MAINTENANCE), so ACCOMMODATION is chosen as the most frequent match."
CORSS/WOOD,SUPPLIER 79,Buildings,Repairs and Renewals,CAPITAL,MAINTENANCE,T6,T3,"{'nominal': 0.78, 'department': 0.75, 'tax_code': 0.7}",Description includes 'WOOD' similar to historical 'wood rabond' and 'woodworks' items which were classified as Repairs and Renewals or Furniture; supplier 79 has prior capital/buildings items but wood for repair aligns better with Repairs and Renewals. Tax code T3 matches the similar wood repair example and department MAINTENANCE aligns with repair-related spend.
TEA/MILK,SUPPLIER 67,Materials Purchased,Materials Purchased,KITCHEN,HOUSEKEEPING,T0,T0,"{'nominal': 0.95, 'department': 0.95, 'tax_code': 0.9}","The detail and supplier exactly match multiple historical examples labeled as Materials Purchased for HOUSEKEEPING with tax code T0. Given the high similarity of past items (1.00 and 0.97), the same classifications are applied with high confidence."
BCRS,SUPPLIER 14,BCRS,BCRS,HOUSEKEEPING,BAR,T9,T9,"{'nominal': 0.95, 'department': 0.95, 'tax_code': 0.95}","The detail and supplier exactly match multiple historical examples that were all classified as nominal BCRS, department BAR, and tax code T9. Given the perfect similarity of past items, the same classifications are applied with high confidence."
BOWLS,SUPPLIER 72,Miscellaneous Expenses,Miscellaneous Expenses,HOUSEKEEPING,KITCHEN,T3,T3,"{'nominal': 0.95, 'department': 0.92, 'tax_code': 0.93}","Exact match to a historical item with detail 'BOWLS' from SUPPLIER 72 which was classified as Miscellaneous Expenses, KITCHEN, T3. Other similar items (bowls/pans) also map to Miscellaneous Expenses and T3, and supplier context indicates kitchen-related supplies."
