DATE,REF,DETAIL,NET,TC,VAT,SUPPLIER,NOMINAL,DEPARTMENT
2025-04-25,54,BEVERAGE,71.28,T2,3.56,SUPPLIER 15,Materials Purchased,BAR
2025-04-25,54,DEPOSIT,76.4,T9,0.0,SUPPLIER 15,Deposits,BAR
2025-04-25,54,BCRS,6.0,T9,0.0,SUPPLIER 15,BCRS,BAR
2025-04-24,55,BEVERAGE,608.95,T1,109.61,SUPPLIER 29,Materials Purchased,BAR
2025-04-24,55,BCRS,16.8,T9,0.0,SUPPLIER 29,BCRS,BAR
2025-04-23,56,BEVERAGE,193.32,T1,34.8,SUPPLIER 30,Materials Purchased,BAR
2025-04-23,56,DEPOSIT,17.8,T9,0.0,SUPPLIER 30,Deposits,BAR
2025-04-15,57,BEVERAGE,892.73,T1,160.69,SUPPLIER 16,Materials Purchased,BAR
2025-04-15,57,DEPOSIT,205.0,T9,0.0,SUPPLIER 16,Deposits,BAR
2025-04-15,57,BCRS,13.8,T9,0.0,SUPPLIER 16,BCRS,BAR
2025-04-15,58,BEVERAGE,13.14,T1,2.37,SUPPLIER 16,Materials Purchased,BAR
2025-04-15,58,BCRS,25.0,T9,0.0,SUPPLIER 16,Deposits,BAR
2025-04-23,59,BEVERAGE,627.79,T1,112.99,SUPPLIER 16,Materials Purchased,BAR
2025-04-23,59,DEPOSIT,165.0,T9,0.0,SUPPLIER 16,Deposits,BAR
2025-04-23,59,BCRS,3.6,T9,0.0,SUPPLIER 16,BCRS,BAR
2025-04-25,60,BEVERAGE,143.6,T1,25.85,SUPPLIER 31,Materials Purchased,BAR
2025-04-25,60,BCRS,16.8,T9,0.0,SUPPLIER 31,BCRS,BAR
2025-04-01,61,LAUNDRY,319.37,T3,57.49,SUPPLIER 36,Laundry,HOUSEKEEPING
2025-04-02,62,LAUNDRY,295.82,T3,53.25,SUPPLIER 36,Laundry,HOUSEKEEPING
2025-04-02,63,LAUNDRY,27.0,T3,4.86,SUPPLIER 36,Laundry,HOUSEKEEPING
2025-04-02,64,LAUNDRY,133.2,T3,23.98,SUPPLIER 36,Laundry,HOUSEKEEPING
2025-04-04,65,LAUNDRY,3.78,T3,0.68,SUPPLIER 36,Laundry,HOUSEKEEPING
2025-04-04,66,LAUNDRY,15.51,T3,2.79,SUPPLIER 36,Laundry,HOUSEKEEPING
2025-04-05,67,LAUNDRY,256.17,T3,46.11,SUPPLIER 36,Laundry,HOUSEKEEPING
2025-04-05,68,LAUNDRY,10.44,T3,1.88,SUPPLIER 36,Laundry,HOUSEKEEPING
2025-04-07,69,LAUNDRY,108.87,T3,19.6,SUPPLIER 36,Laundry,HOUSEKEEPING
2025-04-07,70,LAUNDRY,18.19,T3,3.27,SUPPLIER 36,Laundry,HOUSEKEEPING
2025-04-07,71,LAUNDRY,3.99,T3,0.72,SUPPLIER 36,Laundry,HOUSEKEEPING
2025-04-08,72,LAUNDRY,61.86,T3,11.13,SUPPLIER 36,Laundry,HOUSEKEEPING
2025-04-08,73,LAUNDRY,1.15,T3,0.21,SUPPLIER 36,Laundry,HOUSEKEEPING
2025-04-10,74,LAUNDRY,12.6,T3,2.27,SUPPLIER 36,Laundry,HOUSEKEEPING
2025-04-11,75,LAUNDRY,10.76,T3,1.94,SUPPLIER 36,Laundry,HOUSEKEEPING
2025-04-12,76,LAUNDRY,165.13,T3,29.72,SUPPLIER 36,Laundry,HOUSEKEEPING
2025-04-14,77,LAUNDRY,236.36,T3,42.54,SUPPLIER 36,Laundry,HOUSEKEEPING
2025-04-14,78,LAUNDRY,5.08,T3,0.91,SUPPLIER 36,Laundry,HOUSEKEEPING
2025-04-14,79,LAUNDRY,11.44,T3,2.06,SUPPLIER 36,Laundry,HOUSEKEEPING
2025-04-14,80,LAUNDRY,199.14,T3,35.85,SUPPLIER 36,Laundry,HOUSEKEEPING
2025-04-15,81,LAUNDRY,1.15,T3,0.21,SUPPLIER 36,Laundry,HOUSEKEEPING
2025-04-16,82,LAUNDRY,149.11,T3,26.84,SUPPLIER 36,Laundry,HOUSEKEEPING
2025-04-17,83,LAUNDRY,59.11,T3,10.64,SUPPLIER 36,Laundry,HOUSEKEEPING
2025-04-17,84,LAUNDRY,233.78,T3,42.08,SUPPLIER 36,Laundry,HOUSEKEEPING
2025-04-18,85,LAUNDRY,62.22,T3,11.2,SUPPLIER 36,Laundry,HOUSEKEEPING
2025-04-18,86,LAUNDRY,176.0,T3,31.68,SUPPLIER 36,Laundry,HOUSEKEEPING
2025-04-19,87,LAUNDRY,193.29,T3,34.79,SUPPLIER 36,Laundry,HOUSEKEEPING
2025-04-19,88,LAUNDRY,22.55,T3,4.06,SUPPLIER 36,Laundry,HOUSEKEEPING
2025-04-21,89,LAUNDRY,227.4,T3,40.93,SUPPLIER 36,Laundry,HOUSEKEEPING
2025-04-22,90,LAUNDRY,424.07,T3,76.33,SUPPLIER 36,Laundry,HOUSEKEEPING
2025-04-23,91,LAUNDRY,2.54,T3,0.46,SUPPLIER 36,Laundry,HOUSEKEEPING
2025-04-23,92,LAUNDRY,55.77,T3,10.04,SUPPLIER 36,Laundry,HOUSEKEEPING
2025-04-24,93,LAUNDRY,214.65,T3,38.64,SUPPLIER 36,Laundry,HOUSEKEEPING
2025-04-25,94,LAUNDRY,37.84,T3,6.81,SUPPLIER 36,Laundry,HOUSEKEEPING
2025-04-25,95,LAUNDRY,25.91,T3,4.66,SUPPLIER 36,Laundry,HOUSEKEEPING
2025-04-25,96,LAUNDRY,263.93,T3,47.51,SUPPLIER 36,Laundry,HOUSEKEEPING
2025-04-26,97,LAUNDRY,21.36,T3,3.84,SUPPLIER 36,Laundry,HOUSEKEEPING
2025-04-26,98,LAUNDRY,158.9,T3,28.6,SUPPLIER 36,Laundry,HOUSEKEEPING
2025-04-28,99,LAUNDRY,177.84,T3,32.01,SUPPLIER 36,Laundry,HOUSEKEEPING
2025-04-28,100,LAUNDRY,194.49,T3,35.01,SUPPLIER 36,Laundry,HOUSEKEEPING
2025-04-29,101,LAUNDRY,53.61,T3,9.65,SUPPLIER 36,Laundry,HOUSEKEEPING
2025-04-29,102,LAUNDRY,15.6,T3,2.81,SUPPLIER 36,Laundry,HOUSEKEEPING
2025-04-29,103,LAUNDRY,207.98,T3,37.44,SUPPLIER 36,Laundry,HOUSEKEEPING
2025-04-29,104,LAUNDRY,34.59,T3,6.23,SUPPLIER 36,Laundry,HOUSEKEEPING
2025-04-30,105,LAUNDRY,8.5,T3,1.53,SUPPLIER 36,Laundry,HOUSEKEEPING
2025-05-03,106,COMMISSION,9890.16,T8,0.0,SUPPLIER 1,Sales Commissions,ACCOMMODATION
2025-04-07,107,NEWSPAPERS,15.01,T2,0.75,SUPPLIER 11,Materials Purchased,ACCOMMODATION
2025-04-21,108,NEWSPAPERS,15.01,T2,0.75,SUPPLIER 11,Materials Purchased,ACCOMMODATION
2025-04-30,109,NEWSPAPERS,23.69,T2,1.18,SUPPLIER 11,Materials Purchased,ACCOMMODATION
2025-04-25,110,BRICKS,100.24,T6,18.04,SUPPLIER 37,Buildings,CAPITAL
2025-04-28,111,BRICKS,48.4,T6,8.71,SUPPLIER 37,Buildings,CAPITAL
2025-05-05,112,NEWSPAPERS,10.67,T2,0.53,SUPPLIER 11,Materials Purchased,ACCOMMODATION
2025-04-15,113,BRICKS,55.5,T6,9.99,SUPPLIER 37,Buildings,CAPITAL
2025-04-29,114,BRICKS,51.84,T6,9.33,SUPPLIER 37,Buildings,CAPITAL
2025-04-30,115,MATCH FINANCING LETTER,65.0,T3,11.7,SUPPLIER 26,Professional Fees,ADMINISTRATION
2025-05-05,116,COMMISSION,273.77,T8,0.0,SUPPLIER 2,Sales Commissions,ACCOMMODATION
2025-04-04,117,CONCRETE,5220.23,T6,939.64,SUPPLIER 39,Buildings,CAPITAL
2025-04-28,118,RECYCLING,110.97,T3,19.97,SUPPLIER 40,Cleaning,HOUSEKEEPING
2025-05-06,119,RECYCLING,117.07,T3,21.07,SUPPLIER 40,Cleaning,HOUSEKEEPING
2025-04-28,120,PROCEDURES MANUAL,100.0,T3,18.0,SUPPLIER 41,Professional Fees,ADMINISTRATION
2025-04-21,121,KEY CARD HOLDERS,496.0,T3,89.28,SUPPLIER 42,Printing,ADMINISTRATION
2025-05-13,122,TAL-LINJA CARDS,1455.0,T0,0.0,SUPPLIER 0,Materials Purchased,ACCOMMODATION
2025-05-01,123,MOBILE,19.69,T3,3.55,SUPPLIER 4,Telephone and Fax,ADMINISTRATION
2025-05-01,124,MOBILE,11.37,T3,2.05,SUPPLIER 4,Telephone and Fax,ADMINISTRATION
2025-05-01,125,MOBILE,11.37,T3,2.05,SUPPLIER 4,Telephone and Fax,ADMINISTRATION
2025-05-01,126,MOBILE,2.64,T3,0.48,SUPPLIER 4,Telephone and Fax,ADMINISTRATION
2025-05-01,127,MOBILE,21.64,T3,3.89,SUPPLIER 4,Telephone and Fax,ADMINISTRATION
2025-04-01,128,BREAD,42.5,T0,0.0,SUPPLIER 43,Materials Purchased,KITCHEN
2025-04-02,129,BREAD,15.0,T0,0.0,SUPPLIER 43,Materials Purchased,KITCHEN
2025-04-03,130,BREAD,12.0,T0,0.0,SUPPLIER 43,Materials Purchased,KITCHEN
2025-04-04,131,BREAD,38.61,T0,0.0,SUPPLIER 43,Materials Purchased,KITCHEN
2025-04-05,132,BREAD,30.26,T0,0.0,SUPPLIER 43,Materials Purchased,KITCHEN
2025-04-08,133,BREAD,33.5,T0,0.0,SUPPLIER 43,Materials Purchased,KITCHEN
2025-04-09,134,BREAD,26.85,T0,0.0,SUPPLIER 43,Materials Purchased,KITCHEN
2025-04-10,135,BREAD,38.76,T0,0.0,SUPPLIER 43,Materials Purchased,KITCHEN
2025-04-12,136,BREAD,49.41,T0,0.0,SUPPLIER 43,Materials Purchased,KITCHEN
2025-04-14,137,BREAD,72.11,T0,0.0,SUPPLIER 43,Materials Purchased,KITCHEN
2025-04-16,138,BREAD,39.0,T0,0.0,SUPPLIER 43,Materials Purchased,KITCHEN
2025-04-17,139,BREAD,118.67,T0,0.0,SUPPLIER 43,Materials Purchased,KITCHEN
2025-04-21,140,BREAD,80.06,T0,0.0,SUPPLIER 43,Materials Purchased,KITCHEN
2025-04-23,141,BREAD,23.76,T0,0.0,SUPPLIER 43,Materials Purchased,KITCHEN
2025-04-24,142,BREAD,27.6,T0,0.0,SUPPLIER 43,Materials Purchased,KITCHEN
2025-04-25,143,BREAD,11.76,T0,0.0,SUPPLIER 43,Materials Purchased,KITCHEN
2025-04-26,144,BREAD,57.86,T0,0.0,SUPPLIER 43,Materials Purchased,KITCHEN
2025-04-28,145,BREAD,60.35,T0,0.0,SUPPLIER 43,Materials Purchased,KITCHEN
2025-04-29,146,BREAD,47.75,T0,0.0,SUPPLIER 43,Materials Purchased,KITCHEN
2025-04-30,147,BREAD,36.12,T0,0.0,SUPPLIER 43,Materials Purchased,KITCHEN
2025-04-14,148,BATTERIES,305.08,T3,54.92,SUPPLIER 44,Repairs and Renewals,MAINTENANCE
2025-05-13,149,CEMENT,66.4,T6,11.95,SUPPLIER 37,Buildings,CAPITAL
2025-05-13,150,CEMENT,20.7,T6,3.73,SUPPLIER 37,Buildings,CAPITAL
2025-05-13,151,CEMENT,123.08,T6,22.15,SUPPLIER 37,Buildings,CAPITAL
2025-05-13,152,CEMENT,19.63,T6,3.53,SUPPLIER 37,Buildings,CAPITAL
2025-05-13,153,CEMENT,102.87,T6,18.52,SUPPLIER 37,Buildings,CAPITAL
2025-05-12,154,NEWSPAPERS,17.18,T2,0.86,SUPPLIER 11,Materials Purchased,ACCOMMODATION
2025-04-04,155,FOOD,132.76,T0,0.0,SUPPLIER 46,Materials Purchased,KITCHEN
2025-04-14,156,FOOD,194.5,T0,0.0,SUPPLIER 46,Materials Purchased,KITCHEN
2025-04-14,157,FOOD,63.86,T0,0.0,SUPPLIER 46,Materials Purchased,KITCHEN
2025-04-17,158,FOOD,226.8,T0,0.0,SUPPLIER 46,Materials Purchased,KITCHEN
2025-04-17,159,FOOD,540.36,T0,0.0,SUPPLIER 46,Materials Purchased,KITCHEN
2025-04-19,160,FOOD,118.0,T0,0.0,SUPPLIER 46,Materials Purchased,KITCHEN
2025-04-25,161,FOOD,375.53,T0,0.0,SUPPLIER 46,Materials Purchased,KITCHEN
2025-04-28,162,FOOD,299.4,T0,0.0,SUPPLIER 46,Materials Purchased,KITCHEN
2025-04-03,163,FOOD,109.09,T0,0.0,SUPPLIER 47,Materials Purchased,KITCHEN
2025-04-08,164,FOOD,87.0,T0,0.0,SUPPLIER 47,Materials Purchased,KITCHEN
2025-04-09,165,FOOD,84.0,T0,0.0,SUPPLIER 47,Materials Purchased,KITCHEN
2025-04-10,166,FOOD,241.72,T0,0.0,SUPPLIER 47,Materials Purchased,KITCHEN
2025-04-14,167,FOOD,384.62,T0,0.0,SUPPLIER 47,Materials Purchased,KITCHEN
2025-04-16,168,FOOD,172.23,T0,0.0,SUPPLIER 47,Materials Purchased,KITCHEN
2025-04-20,169,FOOD,33.0,T0,0.0,SUPPLIER 47,Materials Purchased,KITCHEN
2025-04-22,170,FOOD,133.0,T0,0.0,SUPPLIER 47,Materials Purchased,KITCHEN
2025-04-22,171,FOOD,141.25,T0,0.0,SUPPLIER 47,Materials Purchased,KITCHEN
2025-04-25,172,FOOD,278.0,T0,0.0,SUPPLIER 47,Materials Purchased,KITCHEN
2025-04-29,173,FOOD,155.0,T0,0.0,SUPPLIER 47,Materials Purchased,KITCHEN
2025-04-29,174,FOOD,105.36,T0,0.0,SUPPLIER 47,Materials Purchased,KITCHEN
2025-04-29,175,FOOD,19.5,T0,0.0,SUPPLIER 47,Materials Purchased,KITCHEN
2025-04-02,176,FOOD,414.31,T0,0.0,SUPPLIER 48,Materials Purchased,KITCHEN
2025-04-09,177,FOOD,380.55,T0,0.0,SUPPLIER 48,Materials Purchased,KITCHEN
2025-04-15,178,FOOD,726.12,T0,0.0,SUPPLIER 48,Materials Purchased,KITCHEN
2025-04-23,179,FOOD,229.16,T0,0.0,SUPPLIER 48,Materials Purchased,KITCHEN
2025-04-29,180,FOOD,245.22,T0,0.0,SUPPLIER 48,Materials Purchased,KITCHEN
2025-04-02,181,ICECREAM,134.0,T2,6.7,SUPPLIER 49,Materials Purchased,KITCHEN
2025-04-17,182,ICECREAM,54.0,T2,2.7,SUPPLIER 49,Materials Purchased,KITCHEN
2025-05-03,183,30 SKIPS MIXED APRIL,840.0,T3,151.2,SUPPLIER 19,Cleaning,HOUSEKEEPING
2025-05-03,184,60 BINS ORGANIC APRIL,360.0,T3,64.8,SUPPLIER 19,Cleaning,HOUSEKEEPING
2025-04-03,185,PASTRY,72.02,T0,0.0,SUPPLIER 22,Materials Purchased,KITCHEN
2025-04-10,186,PASTRY,240.02,T0,0.0,SUPPLIER 22,Materials Purchased,KITCHEN
2025-04-24,187,PASTRY,414.92,T0,0.0,SUPPLIER 22,Materials Purchased,KITCHEN
2025-04-29,188,PASTRY,238.02,T0,0.0,SUPPLIER 22,Materials Purchased,KITCHEN
2025-04-04,189,EGGS,230.0,T0,0.0,SUPPLIER 57,Materials Purchased,KITCHEN
2025-04-11,190,EGGS,138.0,T0,0.0,SUPPLIER 57,Materials Purchased,KITCHEN
2025-04-18,191,EGGS,138.0,T0,0.0,SUPPLIER 57,Materials Purchased,KITCHEN
2025-04-25,192,EGGS,138.0,T0,0.0,SUPPLIER 57,Materials Purchased,KITCHEN
2025-04-02,193,EGGS,230.0,T0,0.0,SUPPLIER 58,Materials Purchased,KITCHEN
2025-04-09,194,EGGS,230.0,T0,0.0,SUPPLIER 58,Materials Purchased,KITCHEN
2025-04-16,195,EGGS,276.0,T0,0.0,SUPPLIER 58,Materials Purchased,KITCHEN
2025-04-17,196,EGGS,31.25,T0,0.0,SUPPLIER 58,Materials Purchased,KITCHEN
2025-04-23,197,EGGS,230.0,T0,0.0,SUPPLIER 58,Materials Purchased,KITCHEN
2025-04-30,198,EGGS,261.25,T0,0.0,SUPPLIER 58,Materials Purchased,KITCHEN
2025-04-07,199,GAS,344.28,T3,61.97,SUPPLIER 23,Gas,HOUSEKEEPING
2025-04-14,200,GAS,304.03,T3,54.72,SUPPLIER 23,Gas,KITCHEN
2025-04-28,201,GAS,503.18,T3,90.57,SUPPLIER 23,Gas,HOUSEKEEPING
2025-04-03,202,FOOD,314.1,T0,0.0,SUPPLIER 59,Materials Purchased,KITCHEN
2025-04-10,203,FOOD,126.0,T0,0.0,SUPPLIER 59,Materials Purchased,KITCHEN
2025-04-15,204,FOOD,580.41,T0,0.0,SUPPLIER 59,Materials Purchased,KITCHEN
2025-04-24,205,FOOD,210.1,T0,0.0,SUPPLIER 59,Materials Purchased,KITCHEN
2025-04-30,206,FOOD,315.0,T0,0.0,SUPPLIER 59,Materials Purchased,KITCHEN
2025-04-30,207,FOOD,276.18,T0,0.0,SUPPLIER 59,Materials Purchased,KITCHEN
2025-04-02,208,PLATES,118.37,T3,21.31,SUPPLIER 60,Miscellaneous Expenses,RESTAURANT
2025-05-14,209,CEMENT,736.41,T6,132.55,SUPPLIER 37,Buildings,CAPITAL
2025-05-14,210,CEMENT,539.4,T6,97.09,SUPPLIER 37,Buildings,CAPITAL
2025-05-14,211,CEMENT,453.14,T6,81.56,SUPPLIER 37,Buildings,CAPITAL
2025-04-02,212,SEAFOOD,177.27,T0,0.0,SUPPLIER 56,Materials Purchased,KITCHEN
2025-04-02,213,SEAFOOD,40.05,T0,0.0,SUPPLIER 56,Materials Purchased,KITCHEN
2025-04-05,214,SEAFOOD,115.26,T0,0.0,SUPPLIER 56,Materials Purchased,KITCHEN
2025-04-09,215,SEAFOOD,65.63,T0,0.0,SUPPLIER 56,Materials Purchased,KITCHEN
2025-04-10,216,SEAFOOD,39.38,T0,0.0,SUPPLIER 56,Materials Purchased,KITCHEN
2025-04-11,217,SEAFOOD,103.82,T0,0.0,SUPPLIER 56,Materials Purchased,KITCHEN
2025-04-12,218,SEAFOOD,294.83,T0,0.0,SUPPLIER 56,Materials Purchased,KITCHEN
2025-04-14,219,SEAFOOD,105.69,T0,0.0,SUPPLIER 56,Materials Purchased,KITCHEN
2025-04-15,220,SEAFOOD,152.74,T0,0.0,SUPPLIER 56,Materials Purchased,KITCHEN
2025-04-16,221,SEAFOOD,113.75,T0,0.0,SUPPLIER 56,Materials Purchased,KITCHEN
2025-04-17,222,SEAFOOD,736.62,T0,0.0,SUPPLIER 56,Materials Purchased,KITCHEN
